component;action;target;objectid;contextid;contextlevel;contextinstanceid;userid;courseid;timecreated
mod_resource;viewed;course_module;33069;216558;70;96771;21473;1489;1554895079
mod_resource;viewed;course_module;33071;216560;70;96773;21473;1489;1554895083
mod_resource;viewed;course_module;33067;216556;70;96769;21473;1489;1554895089
mod_resource;viewed;course_module;33068;216557;70;96770;21473;1489;1554895090
mod_resource;viewed;course_module;33070;216559;70;96772;21473;1489;1554895093
mod_resource;viewed;course_module;33179;216982;70;96981;21473;1489;1554895104
mod_resource;viewed;course_module;33178;216981;70;96980;21473;1489;1554895106
mod_resource;viewed;course_module;32296;212977;70;95272;21473;1489;1554895115
mod_resource;viewed;course_module;32297;212979;70;95274;21473;1489;1554895118
mod_resource;viewed;course_module;32298;212981;70;95276;21473;1489;1554895121
mod_resource;viewed;course_module;32299;212983;70;95278;21473;1489;1554895124
mod_resource;viewed;course_module;32300;212985;70;95280;21473;1489;1554895128
mod_resource;viewed;course_module;32302;212987;70;95282;21473;1489;1554895131
mod_resource;viewed;course_module;33264;217295;70;97104;21473;1489;1554895134
mod_quiz;viewed;course_module;3359;213005;70;95300;21465;1489;1554895183
mod_quiz;viewed;course_module;3359;213005;70;95300;14578;1489;1554895322
mod_quiz;viewed;course_module;3359;213005;70;95300;18464;1489;1554895456
mod_assign;viewed;course_module;6264;216339;70;96719;21401;1489;1554896395
mod_assign;viewed;feedback;88517;216339;70;96719;21401;1489;1554896395
mod_quiz;viewed;course_module;3359;213005;70;95300;21464;1489;1554896501
mod_page;viewed;course_module;7034;213008;70;95303;21468;1489;1554896745
mod_quiz;viewed;course_module;3359;213005;70;95300;21468;1489;1554896752
mod_quiz;viewed;course_module;3359;213005;70;95300;17;1489;1554896929
mod_page;viewed;course_module;7034;213008;70;95303;21468;1489;1554897335
mod_quiz;viewed;course_module;3359;213005;70;95300;21594;1489;1554897382
mod_quiz;viewed;course_module;3359;213005;70;95300;21463;1489;1554897399
mod_page;viewed;course_module;7033;213002;70;95297;21463;1489;1554897406
mod_quiz;viewed;course_module;3359;213005;70;95300;21401;1489;1554897511
mod_page;viewed;course_module;7034;213008;70;95303;21401;1489;1554897566
mod_quiz;viewed;course_module;3359;213005;70;95300;21467;1489;1554897646
mod_page;viewed;course_module;7034;213008;70;95303;21463;1489;1554897661
mod_page;viewed;course_module;7034;213008;70;95303;21467;1489;1554897665
mod_quiz;viewed;course_module;3359;213005;70;95300;21520;1489;1554897677
mod_page;viewed;course_module;7034;213008;70;95303;21593;1489;1554898167
mod_quiz;viewed;course_module;3359;213005;70;95300;21593;1489;1554898173
mod_quiz;viewed;course_module;3359;213005;70;95300;14578;1489;1554898277
mod_quiz;viewed;course_module;3359;213005;70;95300;21520;1489;1554898399
mod_quiz;viewed;course_module;3359;213005;70;95300;21318;1489;1554898426
mod_quiz;viewed;course_module;3359;213005;70;95300;14578;1489;1554898814
mod_quiz;viewed;course_module;3359;213005;70;95300;14578;1489;1554899040
mod_quiz;viewed;course_module;3359;213005;70;95300;21520;1489;1554899271
mod_quiz;viewed;course_module;3359;213005;70;95300;14578;1489;1554899875
mod_quiz;viewed;course_module;3359;213005;70;95300;17;1489;1554899978
mod_quiz;viewed;course_module;3359;213005;70;95300;21139;1489;1554900396
mod_quiz;viewed;course_module;3359;213005;70;95300;17;1489;1554900974
mod_page;viewed;course_module;7034;213008;70;95303;17;1489;1554901001
mod_workshop;viewed;course_module;68;216978;70;96979;21823;1489;1554901620
mod_quiz;viewed;course_module;3359;213005;70;95300;21174;1489;1554902195
mod_page;viewed;course_module;7034;213008;70;95303;21174;1489;1554902209
mod_page;viewed;course_module;7033;213002;70;95297;21174;1489;1554902309
mod_quiz;viewed;course_module;3358;213001;70;95296;21174;1489;1554902327
mod_quiz;viewed;course_module;3359;213005;70;95300;21489;1489;1554902722
mod_quiz;viewed;course_module;3359;213005;70;95300;21823;1489;1554903165
mod_quiz;viewed;course_module;3359;213005;70;95300;21595;1489;1554903533
mod_resource;viewed;course_module;32296;212977;70;95272;19910;1489;1554904364
mod_resource;viewed;course_module;32297;212979;70;95274;19910;1489;1554904405
mod_resource;viewed;course_module;32298;212981;70;95276;19910;1489;1554904412
mod_resource;viewed;course_module;32299;212983;70;95278;19910;1489;1554904419
mod_resource;viewed;course_module;32300;212985;70;95280;19910;1489;1554904427
mod_resource;viewed;course_module;32302;212987;70;95282;19910;1489;1554904445
mod_resource;viewed;course_module;33264;217295;70;97104;19910;1489;1554904452
mod_vpl;edited;submission;104152;217260;70;97086;19910;1489;1554904550
mod_vpl;edited;submission;104121;217261;70;97087;19910;1489;1554904565
mod_vpl;edited;submission;104068;217258;70;97084;19910;1489;1554904588
mod_resource;viewed;course_module;33181;216984;70;96983;21471;1489;1554904888
mod_page;viewed;course_module;7034;213008;70;95303;21266;1489;1554904985
mod_vpl;edited;submission;104068;217258;70;97084;19910;1489;1554905462
mod_resource;viewed;course_module;33180;216983;70;96982;21471;1489;1554905552
mod_quiz;viewed;course_module;3359;213005;70;95300;21314;1489;1554908513
mod_page;viewed;course_module;7034;213008;70;95303;21314;1489;1554908516
mod_workshop;viewed;course_module;68;216978;70;96979;21529;1489;1554908530
mod_quiz;viewed;course_module;3359;213005;70;95300;21464;1489;1554908715
mod_workshop;viewed;course_module;69;217401;70;97160;17;1489;1554909909
mod_resource;viewed;course_module;33066;216553;70;96768;21314;1489;1554910214
mod_resource;viewed;course_module;33179;216982;70;96981;21314;1489;1554910218
mod_page;viewed;course_module;7034;213008;70;95303;21199;1489;1554910461
mod_quiz;viewed;course_module;3359;213005;70;95300;21199;1489;1554910475
mod_quiz;viewed;course_module;3359;213005;70;95300;21199;1489;1554910487
mod_page;viewed;course_module;7034;213008;70;95303;21199;1489;1554910490
mod_quiz;viewed;course_module;3359;213005;70;95300;18464;1489;1554910646
mod_page;viewed;course_module;7034;213008;70;95303;18464;1489;1554910658
mod_quiz;viewed;course_module;3359;213005;70;95300;21174;1489;1554911677
mod_vpl;viewed;submission;104545;217258;70;97084;21174;1489;1554911705
mod_quiz;viewed;course_module;3359;213005;70;95300;21195;1489;1554912283
mod_page;viewed;course_module;7034;213008;70;95303;21400;1489;1554912625
mod_resource;viewed;course_module;33181;216984;70;96983;21201;1489;1554913379
mod_resource;viewed;course_module;32296;212977;70;95272;21196;1489;1554915365
mod_resource;viewed;course_module;32305;212990;70;95285;21196;1489;1554915371
mod_resource;viewed;course_module;32301;212986;70;95281;21196;1489;1554915441
mod_resource;viewed;course_module;32302;212987;70;95282;21196;1489;1554915445
mod_page;viewed;course_module;7030;212992;70;95287;21196;1489;1554915457
mod_quiz;viewed;course_module;3359;213005;70;95300;21174;1489;1554916069
mod_page;viewed;course_module;7034;213008;70;95303;21174;1489;1554916073
mod_resource;viewed;course_module;33179;216982;70;96981;21196;1489;1554916140
mod_resource;viewed;course_module;33178;216981;70;96980;21196;1489;1554916141
mod_quiz;viewed;course_module;3359;213005;70;95300;14578;1489;1554916328
mod_quiz;viewed;course_module;3359;213005;70;95300;14578;1489;1554917583
mod_quiz;viewed;course_module;3359;213005;70;95300;21473;1489;1554918097
mod_page;viewed;course_module;7034;213008;70;95303;21473;1489;1554918110
mod_assign;viewed;course_module;6135;213017;70;95312;17;1489;1554920091
mod_workshop;viewed;course_module;69;217401;70;97160;17;1489;1554920094
mod_workshop;viewed;course_module;69;217401;70;97160;17;1489;1554920343
mod_workshop;viewed;course_module;69;217401;70;97160;17;1489;1554920362
mod_workshop;viewed;course_module;69;217401;70;97160;17;1489;1554920376
mod_workshop;viewed;course_module;69;217401;70;97160;17;1489;1554920395
mod_workshop;viewed;course_module;69;217401;70;97160;17;1489;1554920609
mod_workshop;viewed;course_module;69;217401;70;97160;17;1489;1554920625
mod_workshop;viewed;course_module;68;216978;70;96979;17;1489;1554920698
mod_workshop;viewed;course_module;68;216978;70;96979;17;1489;1554920744
mod_page;viewed;course_module;7034;213008;70;95303;21489;1489;1554921548
mod_page;viewed;course_module;7034;213008;70;95303;21489;1489;1554921702
mod_quiz;viewed;course_module;3359;213005;70;95300;21489;1489;1554921721
mod_page;viewed;course_module;7034;213008;70;95303;21489;1489;1554921731
mod_quiz;viewed;course_module;3359;213005;70;95300;21489;1489;1554921735
mod_page;viewed;course_module;7034;213008;70;95303;21201;1489;1554922678
mod_quiz;viewed;course_module;3359;213005;70;95300;21201;1489;1554922695
mod_page;viewed;course_module;7034;213008;70;95303;21201;1489;1554922701
mod_resource;viewed;course_module;33292;217396;70;97155;21201;1489;1554922816
mod_workshop;viewed;course_module;69;217401;70;97160;21299;1489;1554923059
mod_workshop;viewed;course_module;68;216978;70;96979;21299;1489;1554923080
mod_resource;viewed;course_module;33179;216982;70;96981;21201;1489;1554924100
mod_quiz;viewed;course_module;3359;213005;70;95300;21174;1489;1554924496
mod_workshop;viewed;course_module;69;217401;70;97160;21174;1489;1554924630
mod_vpl;edited;submission;104420;217258;70;97084;21473;1489;1554924838
mod_resource;viewed;course_module;33292;217396;70;97155;21174;1489;1554924863
mod_resource;viewed;course_module;33293;217397;70;97156;21174;1489;1554924888
mod_workshop;viewed;course_module;69;217401;70;97160;21174;1489;1554925060
mod_workshop;viewed;course_module;69;217401;70;97160;21473;1489;1554925317
mod_resource;viewed;course_module;33292;217396;70;97155;21473;1489;1554925355
mod_page;viewed;course_module;7030;212992;70;95287;21473;1489;1554925426
mod_vpl;uploaded;submission;104746;217262;70;97088;21473;1489;1554926117
mod_vpl;evaluated;submission;104746;217262;70;97088;21473;1489;1554926121
mod_vpl;uploaded;submission;104747;217262;70;97088;21473;1489;1554926159
mod_vpl;evaluated;submission;104747;217262;70;97088;21473;1489;1554926160
mod_vpl;uploaded;submission;104748;217262;70;97088;21473;1489;1554926203
mod_vpl;evaluated;submission;104748;217262;70;97088;21473;1489;1554926203
mod_vpl;deleted;submission;104748;217262;70;97088;21473;1489;1554926216
mod_vpl;uploaded;submission;104749;217262;70;97088;21473;1489;1554926216
mod_vpl;evaluated;submission;104749;217262;70;97088;21473;1489;1554926217
mod_vpl;uploaded;submission;104750;217262;70;97088;21473;1489;1554926332
mod_vpl;evaluated;submission;104750;217262;70;97088;21473;1489;1554926333
mod_vpl;uploaded;submission;104751;217262;70;97088;21473;1489;1554926372
mod_vpl;evaluated;submission;104751;217262;70;97088;21473;1489;1554926374
mod_workshop;viewed;course_module;69;217401;70;97160;21261;1489;1554926704
mod_quiz;viewed;course_module;3359;213005;70;95300;21261;1489;1554926723
mod_vpl;uploaded;submission;104752;217262;70;97088;21473;1489;1554926845
mod_vpl;evaluated;submission;104752;217262;70;97088;21473;1489;1554926846
mod_vpl;uploaded;submission;104753;217262;70;97088;21473;1489;1554926864
mod_page;viewed;course_module;7034;213008;70;95303;21195;1489;1554928500
mod_resource;viewed;course_module;33292;217396;70;97155;21195;1489;1554928573
mod_workshop;viewed;course_module;69;217401;70;97160;21195;1489;1554928637
mod_workshop;viewed;course_module;69;217401;70;97160;21195;1489;1554928647
mod_resource;viewed;course_module;33295;217399;70;97158;21195;1489;1554928696
mod_resource;viewed;course_module;33291;217395;70;97154;21195;1489;1554928699
mod_resource;viewed;course_module;33293;217397;70;97156;21195;1489;1554928778
mod_quiz;viewed;course_module;3359;213005;70;95300;21469;1489;1554931265
mod_quiz;viewed;course_module;3359;213005;70;95300;14578;1489;1554958899
mod_page;viewed;course_module;7034;213008;70;95303;14578;1489;1554958958
mod_page;viewed;course_module;7034;213008;70;95303;14578;1489;1554958994
mod_workshop;viewed;course_module;69;217401;70;97160;14578;1489;1554959075
mod_workshop;viewed;course_module;69;217401;70;97160;21199;1489;1554960155
mod_resource;viewed;course_module;33292;217396;70;97155;21199;1489;1554960259
mod_resource;viewed;course_module;33293;217397;70;97156;21199;1489;1554960259
mod_resource;viewed;course_module;33294;217398;70;97157;21199;1489;1554960260
mod_resource;viewed;course_module;33290;217394;70;97153;21199;1489;1554960261
mod_resource;viewed;course_module;33291;217395;70;97154;21199;1489;1554960262
mod_quiz;viewed;course_module;3359;213005;70;95300;21349;1489;1554960930
mod_workshop;viewed;course_module;68;216978;70;96979;21139;1489;1554960968
mod_page;viewed;course_module;7034;213008;70;95303;18310;1489;1554960986
mod_page;viewed;course_module;7034;213008;70;95303;21314;1489;1554961012
mod_quiz;viewed;course_module;3359;213005;70;95300;18310;1489;1554961026
mod_quiz;viewed;course_module;3359;213005;70;95300;19910;1489;1554961030
mod_quiz;viewed;course_module;3359;213005;70;95300;21314;1489;1554961036
mod_page;viewed;course_module;7034;213008;70;95303;21139;1489;1554961041
mod_page;viewed;course_module;7034;213008;70;95303;14578;1489;1554961101
mod_page;viewed;course_module;7034;213008;70;95303;21349;1489;1554961125
mod_workshop;viewed;course_module;68;216978;70;96979;21313;1489;1554961198
mod_workshop;viewed;course_module;69;217401;70;97160;21631;1489;1554961269
mod_quiz;viewed;course_module;3359;213005;70;95300;19926;1489;1554961273
mod_page;viewed;course_module;7034;213008;70;95303;21349;1489;1554961307
mod_quiz;viewed;course_module;3359;213005;70;95300;21349;1489;1554961321
mod_workshop;viewed;course_module;69;217401;70;97160;21313;1489;1554961445
mod_workshop;viewed;course_module;69;217401;70;97160;19910;1489;1554961466
mod_workshop;viewed;course_module;69;217401;70;97160;18170;1489;1554961480
mod_workshop;viewed;course_module;69;217401;70;97160;14578;1489;1554961493
mod_workshop;viewed;course_module;69;217401;70;97160;21349;1489;1554961505
mod_resource;viewed;course_module;33295;217399;70;97158;21313;1489;1554961506
mod_workshop;viewed;course_module;69;217401;70;97160;21266;1489;1554961506
mod_workshop;viewed;course_module;69;217401;70;97160;21313;1489;1554961510
mod_workshop;viewed;course_module;69;217401;70;97160;21322;1489;1554961512
mod_workshop;viewed;course_module;69;217401;70;97160;21139;1489;1554961523
mod_resource;viewed;course_module;33295;217399;70;97158;21139;1489;1554961550
mod_resource;viewed;course_module;33291;217395;70;97154;21139;1489;1554961552
mod_workshop;viewed;course_module;69;217401;70;97160;14578;1489;1554961559
mod_workshop;viewed;course_module;69;217401;70;97160;21349;1489;1554961566
mod_workshop;viewed;course_module;68;216978;70;96979;21349;1489;1554961627
mod_workshop;viewed;course_module;69;217401;70;97160;19679;1489;1554961662
mod_workshop;viewed;course_module;69;217401;70;97160;19910;1489;1554961668
mod_workshop;viewed;course_module;69;217401;70;97160;19910;1489;1554961680
mod_workshop;viewed;course_module;69;217401;70;97160;19910;1489;1554961686
mod_resource;viewed;course_module;33292;217396;70;97155;19910;1489;1554961897
mod_vpl;uploaded;submission;104755;217402;70;97161;21314;1489;1554961945
mod_resource;viewed;course_module;33292;217396;70;97155;19857;1489;1554961957
mod_resource;viewed;course_module;33292;217396;70;97155;18170;1489;1554961959
mod_resource;viewed;course_module;33294;217398;70;97157;21349;1489;1554961989
mod_assign;viewed;course_module;6264;216339;70;96719;21596;1489;1554961994
mod_assign;viewed;feedback;88475;216339;70;96719;21596;1489;1554961994
mod_resource;viewed;course_module;33294;217398;70;97157;21266;1489;1554962001
mod_resource;viewed;course_module;33294;217398;70;97157;21313;1489;1554962002
mod_resource;viewed;course_module;33292;217396;70;97155;21313;1489;1554962015
mod_resource;viewed;course_module;33291;217395;70;97154;21596;1489;1554962016
mod_resource;viewed;course_module;33292;217396;70;97155;21596;1489;1554962024
mod_resource;viewed;course_module;33292;217396;70;97155;14578;1489;1554962033
mod_resource;viewed;course_module;33294;217398;70;97157;21631;1489;1554962043
mod_resource;viewed;course_module;33292;217396;70;97155;21196;1489;1554962060
mod_vpl;uploaded;submission;104756;217402;70;97161;21314;1489;1554962061
mod_vpl;evaluated;submission;104756;217402;70;97161;21314;1489;1554962062
mod_resource;viewed;course_module;33292;217396;70;97155;21196;1489;1554962069
mod_resource;viewed;course_module;33293;217397;70;97156;21349;1489;1554962077
mod_vpl;edited;submission;104074;217258;70;97084;19857;1489;1554962084
mod_resource;viewed;course_module;33292;217396;70;97155;21139;1489;1554962091
mod_resource;viewed;course_module;33292;217396;70;97155;21349;1489;1554962093
mod_resource;viewed;course_module;33294;217398;70;97157;21139;1489;1554962098
mod_resource;viewed;course_module;33290;217394;70;97153;21139;1489;1554962103
mod_resource;viewed;course_module;33294;217398;70;97157;21266;1489;1554962109
mod_resource;viewed;course_module;33292;217396;70;97155;18310;1489;1554962110
mod_vpl;evaluated;submission;104756;217402;70;97161;21314;1489;1554962195
mod_vpl;uploaded;submission;104757;217402;70;97161;21313;1489;1554962227
mod_vpl;run;submission;104757;217402;70;97161;21313;1489;1554962228
mod_vpl;edited;submission;104552;217258;70;97084;21529;1489;1554962232
mod_vpl;uploaded;submission;104758;217402;70;97161;21314;1489;1554962245
mod_vpl;evaluated;submission;104758;217402;70;97161;21314;1489;1554962246
mod_vpl;uploaded;submission;104759;217402;70;97161;21314;1489;1554962252
mod_vpl;deleted;submission;104759;217402;70;97161;21314;1489;1554962259
mod_vpl;uploaded;submission;104760;217402;70;97161;21314;1489;1554962259
mod_vpl;evaluated;submission;104760;217402;70;97161;21314;1489;1554962260
mod_vpl;deleted;submission;104760;217402;70;97161;21314;1489;1554962267
mod_vpl;uploaded;submission;104761;217402;70;97161;21314;1489;1554962267
mod_vpl;evaluated;submission;104757;217402;70;97161;21313;1489;1554962267
mod_vpl;evaluated;submission;104761;217402;70;97161;21314;1489;1554962276
mod_resource;viewed;course_module;33291;217395;70;97154;19679;1489;1554962282
mod_vpl;uploaded;submission;104762;217402;70;97161;21266;1489;1554962287
mod_vpl;run;submission;104762;217402;70;97161;21266;1489;1554962289
mod_resource;viewed;course_module;33290;217394;70;97153;14578;1489;1554962306
mod_vpl;uploaded;submission;104763;217402;70;97161;21631;1489;1554962312
mod_vpl;run;submission;104763;217402;70;97161;21631;1489;1554962314
mod_vpl;uploaded;submission;104762;217402;70;97161;21266;1489;1554962314
mod_vpl;uploaded;submission;104764;217402;70;97161;21314;1489;1554962318
mod_resource;viewed;course_module;33292;217396;70;97155;21266;1489;1554962364
mod_resource;viewed;course_module;33293;217397;70;97156;21196;1489;1554962364
mod_vpl;edited;submission;104142;217260;70;97086;19857;1489;1554962397
mod_resource;viewed;course_module;33291;217395;70;97154;21631;1489;1554962398
mod_vpl;uploaded;submission;104765;217402;70;97161;14578;1489;1554962405
mod_vpl;edited;submission;104762;217402;70;97161;21266;1489;1554962411
mod_vpl;uploaded;submission;104766;217402;70;97161;21314;1489;1554962415
mod_vpl;evaluated;submission;104766;217402;70;97161;21314;1489;1554962417
mod_resource;viewed;course_module;33292;217396;70;97155;21322;1489;1554962434
mod_resource;viewed;course_module;33292;217396;70;97155;21529;1489;1554962438
mod_resource;viewed;course_module;33294;217398;70;97157;19679;1489;1554962442
mod_vpl;viewed;submission;104491;217258;70;97084;21349;1489;1554962450
mod_vpl;evaluated;submission;104765;217402;70;97161;14578;1489;1554962506
mod_vpl;viewed;submission;104555;217258;70;97084;14578;1489;1554962531
mod_vpl;uploaded;submission;104767;217402;70;97161;21631;1489;1554962533
mod_vpl;run;submission;104767;217402;70;97161;21631;1489;1554962535
mod_vpl;uploaded;submission;104768;217402;70;97161;21266;1489;1554962544
mod_vpl;uploaded;submission;104769;217402;70;97161;14578;1489;1554962544
mod_vpl;uploaded;submission;104770;217402;70;97161;21631;1489;1554962545
mod_vpl;run;submission;104768;217402;70;97161;21266;1489;1554962545
mod_vpl;evaluated;submission;104769;217402;70;97161;14578;1489;1554962545
mod_vpl;run;submission;104770;217402;70;97161;21631;1489;1554962546
mod_vpl;uploaded;submission;104771;217402;70;97161;21314;1489;1554962548
mod_vpl;evaluated;submission;104771;217402;70;97161;21314;1489;1554962550
mod_vpl;uploaded;submission;104772;217402;70;97161;21322;1489;1554962550
mod_vpl;uploaded;submission;104773;217402;70;97161;21595;1489;1554962556
mod_vpl;run;submission;104773;217402;70;97161;21595;1489;1554962557
mod_vpl;run;submission;104770;217402;70;97161;21631;1489;1554962558
mod_vpl;uploaded;submission;104774;217402;70;97161;21139;1489;1554962567
mod_vpl;run;submission;104774;217402;70;97161;21139;1489;1554962569
mod_vpl;uploaded;submission;104775;217402;70;97161;21313;1489;1554962572
mod_vpl;run;submission;104775;217402;70;97161;21313;1489;1554962573
mod_vpl;uploaded;submission;104776;217402;70;97161;21595;1489;1554962574
mod_vpl;run;submission;104776;217402;70;97161;21595;1489;1554962574
mod_vpl;evaluated;submission;104774;217402;70;97161;21139;1489;1554962574
mod_vpl;uploaded;submission;104777;217402;70;97161;21349;1489;1554962577
mod_vpl;run;submission;104770;217402;70;97161;21631;1489;1554962578
mod_vpl;evaluated;submission;104777;217402;70;97161;21349;1489;1554962578
mod_vpl;run;submission;104777;217402;70;97161;21349;1489;1554962584
mod_vpl;deleted;submission;104776;217402;70;97161;21595;1489;1554962591
mod_vpl;uploaded;submission;104778;217402;70;97161;21595;1489;1554962591
mod_vpl;run;submission;104778;217402;70;97161;21595;1489;1554962592
mod_vpl;run;submission;104770;217402;70;97161;21631;1489;1554962595
mod_vpl;deleted;submission;104778;217402;70;97161;21595;1489;1554962603
mod_vpl;uploaded;submission;104779;217402;70;97161;21595;1489;1554962603
mod_vpl;run;submission;104779;217402;70;97161;21595;1489;1554962603
mod_vpl;uploaded;submission;104780;217402;70;97161;21595;1489;1554962616
mod_vpl;run;submission;104780;217402;70;97161;21595;1489;1554962617
mod_vpl;uploaded;submission;104781;217402;70;97161;21596;1489;1554962634
mod_vpl;evaluated;submission;104781;217402;70;97161;21596;1489;1554962635
mod_vpl;uploaded;submission;104782;217402;70;97161;18310;1489;1554962639
